task,devacc,acc,ndev,ntest,nhid,dropout
Length,72.37,71.79,9996,9996,50,0.0
Length,70.11,69.95,9996,9996,50,0.1
Length,68.3,68.17,9996,9996,50,0.2
Length,72.24,71.2,9996,9996,100,0.0
Length,70.78,70.18,9996,9996,100,0.1
Length,67.98,67.73,9996,9996,100,0.2
Length,72.67,72.41,9996,9996,200,0.0
Length,70.81,70.26,9996,9996,200,0.1
Length,68.46,68.27,9996,9996,200,0.2
WordContent,70.45,70.0,10000,10000,50,0.0
WordContent,70.45,70.0,10000,10000,50,0.1
WordContent,70.45,70.0,10000,10000,50,0.2
WordContent,70.45,70.0,10000,10000,100,0.0
WordContent,70.45,70.0,10000,10000,100,0.1
WordContent,70.45,70.0,10000,10000,100,0.2
WordContent,70.45,70.0,10000,10000,200,0.0
WordContent,70.45,70.0,10000,10000,200,0.1
WordContent,70.45,70.0,10000,10000,200,0.2
Depth,33.42,33.61,10000,10000,50,0.0
Depth,32.57,31.84,10000,10000,50,0.1
Depth,32.47,31.65,10000,10000,50,0.2
Depth,33.3,33.9,10000,10000,100,0.0
Depth,32.42,32.17,10000,10000,100,0.1
Depth,32.38,31.43,10000,10000,100,0.2
Depth,33.31,33.93,10000,10000,200,0.0
Depth,32.11,31.38,10000,10000,200,0.1
Depth,32.01,31.24,10000,10000,200,0.2
TopConstituents,52.85,53.13,10000,10000,50,0.0
TopConstituents,51.99,52.17,10000,10000,50,0.1
TopConstituents,51.61,51.83,10000,10000,50,0.2
TopConstituents,53.37,53.66,10000,10000,100,0.0
TopConstituents,51.58,51.62,10000,10000,100,0.1
TopConstituents,51.37,51.6,10000,10000,100,0.2
TopConstituents,53.27,54.27,10000,10000,200,0.0
TopConstituents,51.5,51.95,10000,10000,200,0.1
TopConstituents,51.2,51.25,10000,10000,200,0.2
BigramShift,50.47,49.87,10000,10000,50,0.0
BigramShift,50.49,49.91,10000,10000,50,0.1
BigramShift,50.53,50.01,10000,10000,50,0.2
BigramShift,50.24,50.06,10000,10000,100,0.0
BigramShift,50.79,49.13,10000,10000,100,0.1
BigramShift,50.31,49.36,10000,10000,100,0.2
BigramShift,50.16,49.02,10000,10000,200,0.0
BigramShift,50.45,49.51,10000,10000,200,0.1
BigramShift,50.21,49.6,10000,10000,200,0.2
Tense,81.95,80.55,10000,10000,50,0.0
Tense,81.4,79.96,10000,10000,50,0.1
Tense,81.27,79.81,10000,10000,50,0.2
Tense,81.8,80.36,10000,10000,100,0.0
Tense,81.4,79.92,10000,10000,100,0.1
Tense,81.31,79.74,10000,10000,100,0.2
Tense,81.66,80.13,10000,10000,200,0.0
Tense,81.42,79.77,10000,10000,200,0.1
Tense,81.32,79.81,10000,10000,200,0.2
SubjNumber,78.65,78.02,10000,10000,50,0.0
SubjNumber,78.66,78.07,10000,10000,50,0.1
SubjNumber,78.67,78.14,10000,10000,50,0.2
SubjNumber,78.48,77.44,10000,10000,100,0.0
SubjNumber,78.51,77.91,10000,10000,100,0.1
SubjNumber,78.56,78.05,10000,10000,100,0.2
SubjNumber,78.64,77.7,10000,10000,200,0.0
SubjNumber,78.61,77.82,10000,10000,200,0.1
SubjNumber,78.61,77.86,10000,10000,200,0.2
ObjNumber,76.7,77.93,10000,10000,50,0.0
ObjNumber,76.58,78.05,10000,10000,50,0.1
ObjNumber,76.57,78.05,10000,10000,50,0.2
ObjNumber,76.77,78.34,10000,10000,100,0.0
ObjNumber,76.45,78.3,10000,10000,100,0.1
ObjNumber,76.5,78.21,10000,10000,100,0.2
ObjNumber,76.71,77.72,10000,10000,200,0.0
ObjNumber,76.41,77.94,10000,10000,200,0.1
ObjNumber,76.38,78.0,10000,10000,200,0.2
OddManOut,50.19,49.87,10000,10000,50,0.0
OddManOut,50.19,49.87,10000,10000,50,0.1
OddManOut,50.2,50.0,10000,10000,50,0.2
OddManOut,50.7,50.72,10000,10000,100,0.0
OddManOut,50.73,50.59,10000,10000,100,0.1
OddManOut,50.53,50.58,10000,10000,100,0.2
OddManOut,50.87,51.05,10000,10000,200,0.0
OddManOut,50.92,51.11,10000,10000,200,0.1
OddManOut,50.76,51.16,10000,10000,200,0.2
CoordinationInversion,50.39,50.26,10002,10002,50,0.0
CoordinationInversion,50.36,50.6,10002,10002,50,0.1
CoordinationInversion,50.45,50.23,10002,10002,50,0.2
CoordinationInversion,50.08,50.72,10002,10002,100,0.0
CoordinationInversion,50.25,50.5,10002,10002,100,0.1
CoordinationInversion,50.26,50.54,10002,10002,100,0.2
CoordinationInversion,50.36,50.42,10002,10002,200,0.0
CoordinationInversion,50.59,50.36,10002,10002,200,0.1
CoordinationInversion,50.63,50.42,10002,10002,200,0.2
